X	intensity_IB_1_24	intensity_IB2_1_24	intensity_KR_1_24	intensity_IB_30_6	intensity_IB2_30_6	intensity_KR_30_6
469|L	NA	NA	17.8296005317141	23.5054483859209	19.8908448024682	NA
470|L	NA	NA	17.8296005317141	23.5054483859209	19.8908448024682	NA
471|L	21.5748424467107	NA	NA	NA	25.4127592713629	NA
472|L	24.7104658525518	NA	NA	22.7446151015568	NA	NA
473|L	24.7104658525518	NA	NA	22.7446151015568	NA	NA
474|L	21.9370182120672	NA	NA	20.0026240118582	NA	NA
475|L	22.2006630425527	22.2951484616862	18.890858728154	22.4357083027472	21.1341517148258	NA
476|L	NA	17.7727879756004	NA	NA	18.7710566622136	NA
477|L	22.35600798976	18.595375738043	19.7202695243081	NA	19.6854846463787	NA
478|L	20.6749307260315	21.4242770888866	22.2603478180182	22.0376025674103	21.2260134906383	20.8118649014447
480|L	NA	21.1222637451271	NA	NA	NA	NA
481|L	NA	NA	NA	NA	18.3976947586075	NA
486|L	22.0908779383512	21.6424139184894	NA	22.2108073434228	23.3789312049327	NA
487|L	22.0908779383512	21.6424139184894	NA	22.2108073434228	23.3789312049327	NA
488|L	22.0908779383512	21.6424139184894	NA	22.2108073434228	23.3789312049327	NA
489|L	22.0908779383512	21.6424139184894	NA	22.2108073434228	23.3789312049327	NA
492|L	NA	25.3384093368101	23.8491515480625	NA	21.3933845007857	22.7554773493974
493|L	NA	22.1541671659657	NA	NA	24.6094106363806	NA
495|L	22.8236273612844	22.4599551022238	23.6058526400696	23.6301166470779	22.9968205829193	20.8336617780224
496|L	NA	22.0025693239405	NA	NA	21.3138225992891	NA
497|L	NA	18.5774977113242	NA	NA	NA	NA
498|L	NA	NA	20.4865505801061	NA	NA	NA
500|L	NA	NA	NA	NA	NA	20.83362392443
501|L	26.3063701885989	26.1318426933537	24.9431619413276	25.3423936848329	26.015532452614	24.0443003793073
502|L	26.066207773872	26.0038645206322	24.351231290052	25.3423936848329	25.5093756928559	24.0443003793073
505|L	23.1758205941255	23.2375831741477	22.7447102629954	24.4807924716315	23.8637786501838	21.0568759182381
506|L	19.6167246029313	20.9413889768899	22.3805539327186	20.6302165559067	NA	21.1026897412644
507|L	25.0089673467413	23.9297340944896	24.1336816578943	24.1587738099098	24.9254614595912	24.663599552582
508|L	22.5967224905705	NA	21.1723721849969	20.0673551139466	NA	NA
509|L	23.431453673647	NA	NA	24.4746637391894	NA	NA
510|L	22.7535210673909	22.0710182023084	23.8412133919251	20.5290265552152	21.7555976969805	22.5431895838322
513|L	20.5708513535946	24.55678310641	NA	21.4917505455948	24.9879418079504	NA
514|L	NA	18.4076860450308	NA	NA	20.1502839413086	NA
515|L	NA	18.4076860450308	NA	NA	20.1502839413086	NA
518|L	NA	19.3077743883645	NA	22.4548402682456	NA	NA
519|L	23.029006924079	NA	NA	NA	NA	NA
520|L	20.7432325676009	18.9282808124945	20.907619713769	22.9389275225735	NA	26.8740884898358
521|L	21.7024990850292	26.0720402402561	26.0871869471515	22.9389275225735	27.6485199689197	27.0824417303681
522|L	NA	21.3973576024631	NA	22.7406340739844	22.713280330944	NA
523|L	NA	17.0697166720473	NA	NA	NA	NA
524|L	NA	21.7122933824592	17.4275133999804	20.6512728253178	21.9071781895587	21.9896528560802
525|L	NA	20.9994594833911	20.3601813779154	21.1872233466736	22.9661578787345	23.9401456625571
526|L	NA	25.4490318537026	21.4767424728077	22.0879368918364	24.9173139725058	25.1973559717399
527|L	NA	25.4078428576962	25.7156442552596	22.0879368918364	24.276449344821	25.6218087346655
528|L	NA	NA	NA	NA	19.9888720015413	NA
529|L	NA	22.0097772566317	NA	NA	21.2181423882057	NA
530|L	NA	22.7643411869014	22.9646797340106	NA	21.4820830932657	NA
531|L	NA	22.0878893998117	25.6523005409738	NA	22.6803105538512	23.4907135906034
532|L	NA	22.0878893998117	27.0467814991208	NA	22.6803105538512	23.4907135906034
533|L	NA	NA	21.6813731760943	NA	NA	NA
537|L	NA	NA	NA	NA	21.0608738810552	NA
538|L	NA	NA	NA	NA	22.297233512837	NA
539|L	NA	21.1731319906164	21.6895920802964	20.6258448427003	22.3709904903517	NA
540|L	NA	NA	NA	NA	17.7894344552974	NA
541|L	NA	NA	NA	NA	16.0864255412809	NA
542|L	NA	19.6648026684936	NA	NA	20.18311030306	NA
543|L	22.0969801226664	NA	23.1241444730373	NA	17.9192276465639	23.499210440025
544|L	NA	20.3088670908254	NA	NA	22.1972470224405	NA
545|L	NA	20.3088670908254	NA	NA	22.0102796668349	NA
546|L	NA	NA	NA	NA	22.6849676855095	NA
547|L	NA	NA	NA	NA	22.6849676855095	NA
549|L	NA	22.5499024972603	21.3547678817296	21.7441890879579	22.0158737786535	24.2332915210435
550|L	NA	NA	NA	NA	NA	23.7951380111074
551|L	NA	19.6688935372633	NA	NA	24.8972621503849	NA
552|L	NA	18.151514011458	NA	NA	NA	NA
553|L	NA	19.6996440844609	NA	23.8262783830306	17.7062255733895	NA
554|L	NA	NA	NA	NA	20.1415375898512	NA
556|L	NA	NA	NA	NA	17.7774402789945	NA
558|L	28.1374833469733	26.484732818006	28.5699765132374	27.8639452997815	26.5940816976845	28.5065412856499
559|L	NA	NA	26.0872608689634	NA	NA	NA
560|L	NA	24.1139420098185	NA	NA	NA	NA
561|L	25.9283901964992	19.4061756899648	22.22218833705	NA	22.3045351263608	22.6309723757602
562|L	23.2469383399573	28.3743676294456	27.486737769652	24.6117859053945	28.4565460680263	25.3474824243438
563|L	NA	NA	NA	NA	NA	20.8662052216456
564|L	NA	20.7209797547498	NA	17.2637732973648	17.7291595060503	NA
565|L	30.3063860137835	30.5321591507498	30.7117537317055	30.5055203931876	30.9284769341675	29.4515262004508
566|L	NA	20.8771305285923	NA	NA	20.7921309214896	NA
567|L	NA	20.591465847082	NA	NA	21.6683185566332	NA
568|L	23.2273868798016	22.0414788124428	NA	NA	23.5144058731805	NA
569|L	23.2273868798016	22.0414788124428	NA	NA	23.5144058731805	NA
570|L	24.1731849258724	23.7088206930496	18.9432370890939	22.0525899449088	25.0475656323519	22.8877400965641
571|L	NA	18.8865585018421	NA	NA	21.1812513710812	NA
572|L	NA	NA	21.8123833233471	NA	NA	NA
573|L	NA	NA	21.8123833233471	NA	NA	NA
574|L	NA	26.2048482690655	NA	NA	25.3511155826784	NA
575|L	NA	19.6870089689771	NA	NA	20.5246187669177	NA
576|L	NA	17.3136651742614	NA	NA	NA	NA
577|L	26.885052231364	25.3520558791358	26.1757799434772	26.2196320555161	26.4478318475068	28.0132092603943
578|L	NA	NA	NA	NA	15.9386623892614	NA
579|L	NA	NA	NA	NA	15.9386623892614	NA
580|L	23.0331132403982	19.7646398712703	22.699390260999	22.9410355478482	NA	18.6359517274101
581|L	20.6077776790786	23.1267784978463	20.0061941635125	19.3004438129292	20.7226333299297	20.0755780659097
582|L	NA	NA	NA	NA	16.5519562980676	NA
583|L	NA	NA	NA	NA	16.5519562980676	NA
584|L	NA	NA	NA	NA	18.1658286251075	NA
585|L	NA	17.1107940625909	NA	NA	17.3251566272805	NA
586|L	NA	18.6567061295887	NA	NA	22.4188972212316	NA
587|L	22.6047335835979	17.7428941188749	22.347952576343	23.0414218256958	NA	22.4638490152819
588|L	NA	23.5315559600554	NA	21.6314149225164	24.7518727120994	NA
589|L	NA	24.3111999709046	NA	21.6314149225164	24.9232142387784	NA
590|L	26.9525767311455	27.2925409189711	26.4166062079673	24.6102282977063	26.8523136903404	27.258421307282
591|L	NA	NA	NA	NA	NA	24.3548535009244
592|L	27.5508653687975	27.1356003410913	26.0688861304086	25.7039731170599	26.4536471723622	27.406727341283
593|L	21.8412810345901	24.2042795240751	NA	NA	23.7365501102672	NA
594|L	21.8412810345901	23.7923459888292	NA	NA	23.7365501102672	NA
595|L	22.8931841126082	22.8623585884051	NA	NA	22.3934553420943	NA
596|L	27.7903313034929	27.3419164978648	27.2953690642936	26.9207738927044	27.7545294721204	28.7640000515355
597|L	21.9131409420993	20.5743934027472	22.8911161937757	22.8301306190794	22.1313509960735	19.6122279832203
600|L	NA	NA	NA	NA	20.8851462854087	NA
601|L	NA	NA	NA	NA	20.8851462854087	NA
602|L	NA	NA	NA	NA	20.8851462854087	NA
603|L	NA	18.9481932264827	NA	NA	18.1177455838532	NA
604|L	NA	NA	NA	20.8884166733022	NA	NA
605|L	NA	18.2433041511616	NA	NA	17.5775222707412	NA
606|L	NA	14.5268737127608	NA	NA	NA	NA
607|L	NA	NA	NA	NA	18.9210634369875	NA
608|L	NA	NA	NA	22.1810043275281	20.7930620390859	NA
609|L	NA	NA	NA	22.1810043275281	20.7930620390859	NA
610|L	NA	18.0972985967843	NA	NA	NA	NA
612|L	NA	21.0765462688551	NA	NA	NA	NA
613|L	22.0753897297443	23.7814650709671	25.3295477847206	26.4727686046639	26.1354123844513	25.6405921421849
614|L	NA	18.6533377544464	NA	NA	NA	NA
615|L	NA	21.664435628029	21.3718219751834	NA	23.0386549689194	NA
616|L	28.266563536552	29.6907807502367	27.6187617951036	27.8386235474688	29.2044606265202	29.6981193671952
618|L	NA	NA	NA	17.6251416697057	NA	NA
619|L	25.0229333160601	NA	NA	NA	NA	NA
620|L	NA	20.6818731695586	NA	NA	24.4777909102858	23.6147633791695
621|L	23.496062416127	25.5513112551989	27.0480353393217	28.3898904288072	21.8682882723955	24.8390740691473
622|L	NA	19.1595557970286	NA	NA	20.9687275773443	NA
623|L	NA	19.0937527695231	NA	NA	20.1446834100482	NA
624|L	NA	19.8076205169979	NA	NA	17.9131792634607	NA
625|L	20.2314144441306	20.042858596067	NA	NA	21.346731968444	NA
626|L	20.2314144441306	19.2826557915662	NA	NA	20.9794013903717	NA
628|L	NA	20.7660726958324	NA	NA	NA	NA
629|L	28.7146026222086	28.8584774483519	28.7366504275642	27.8048924666572	28.9671547751485	30.5816266107145
630|L	23.7602655891257	24.5039132049842	NA	23.6818990660144	23.0182033763877	NA
631|L	20.775783728885	21.1611418481767	NA	20.4173884005047	NA	NA
632|L	27.4957515718184	29.5681462798421	24.4402503969601	26.9851705574353	29.0712198740465	25.4538945418237
633|L	NA	16.3300325497719	NA	NA	NA	NA
634|L	19.0683116646628	22.565140797174	24.1082048506085	22.9919222376242	21.8528805207561	NA
635|L	21.7606943927626	23.834593004395	22.0172115326297	NA	22.4864511035355	22.6847383196401
637|L	NA	NA	NA	21.072296243331	20.5514484559088	NA
638|L	NA	NA	NA	NA	18.4939368073422	NA
639|L	NA	NA	16.6293370198367	17.0448851266255	NA	20.5450171126902
640|L	NA	21.3257529753008	16.954671323828	NA	20.5590473822193	20.0789670771821
641|L	NA	17.3448532755144	24.7579032047442	19.7968451865338	22.9862753406095	24.3405230999753
645|L	24.7723231706742	23.4842190431005	25.6449871168902	24.9162271431019	23.2014881407419	NA
646|L	21.9728112374181	20.2143005657784	19.9733961754457	21.0300267859582	20.4016259383374	18.9200888540506
647|L	NA	NA	NA	13.1796892493603	17.3413854435488	NA
648|L	23.5994529095516	22.3139101021491	23.0221692524259	24.0963896351708	22.7524711974855	22.1975582088286
649|L	19.5161337304153	22.5545853403849	19.3652625339163	NA	19.9228707185317	20.6020193831707
650|L	27.9260438483871	28.2889114955703	27.4881381182641	27.2098627612238	27.8302956436281	29.6031245540865
654|L	NA	24.1467003357696	NA	NA	26.6461683872402	19.920409686643
655|L	NA	24.1467003357696	NA	NA	26.6461683872402	19.920409686643
656|L	NA	15.0742476248895	NA	NA	NA	NA
661|L	NA	18.8071566229955	NA	NA	20.8104278247057	NA
662|L	NA	18.8071566229955	NA	NA	20.8789530070925	NA
664|L	NA	22.3380347359302	NA	NA	22.9700582138836	NA
665|L	NA	22.2597616183394	NA	21.3467309583042	22.1976257180567	NA
666|L	23.2363454288932	24.7251806381055	22.7809924199489	23.7423060216739	25.1669907911816	21.5571265490253
667|L	NA	24.0411007843044	NA	NA	23.1643292784375	NA
668|L	NA	NA	NA	NA	NA	27.456066913822
669|L	NA	NA	NA	NA	NA	27.456066913822
670|L	25.8714249261628	24.1968469182234	24.0272332956954	26.3690023531133	25.5580101671386	25.9184033113886
671|L	25.1249579040379	24.5748930845639	25.8308492473266	24.2058655444029	24.5281827200765	26.156564261005
673|L	NA	19.1471463824826	NA	NA	NA	NA
674|L	NA	NA	NA	NA	NA	23.2573722700212
675|L	25.5009604629712	27.9134163912692	28.6398052519846	26.6438181387934	27.9254308392002	29.2843807156664
677|L	23.1788664170809	24.4548431974307	23.0722064198565	24.8496516036128	25.8245603600013	26.0544458985579
678|L	23.676663391895	23.9202918729401	23.1747784968773	25.148240019995	25.4605384111407	25.5489649920291
679|L	NA	NA	20.4279841766405	NA	NA	22.8669914440985
680|L	20.5607316490466	NA	21.039388323474	NA	NA	24.6722245658688
681|L	22.7910643457679	20.3601559179441	NA	24.1221926074555	NA	NA
682|L	NA	16.8776019209285	26.5586380824317	NA	NA	24.9040547109662
683|L	NA	16.8776019209285	NA	NA	NA	24.8448370945422
684|L	22.1495270023557	22.1870155052883	24.1488622154299	21.4239997572423	21.9806907886357	24.2237730226109
685|L	22.7793637098079	22.1870155052883	24.2553827407324	21.4239997572423	21.9806907886357	25.2786787419249
686|L	NA	NA	22.5431251406997	NA	NA	23.6617617412208
690|L	26.0023085145051	24.6662379239389	23.5203106199771	25.8098839447801	24.3232490048167	25.3248543969623
691|L	25.4657983497167	24.4515694676348	22.6888284156052	25.6556173560036	24.12611692203	24.7452259616253
692|L	21.7637809728468	NA	NA	NA	NA	NA
693|L	21.7637809728468	NA	NA	NA	NA	NA
694|L	21.7637809728468	NA	NA	NA	NA	NA
695|L	19.7328701686208	24.3969980010679	NA	21.8968737427908	24.8348131689986	NA
696|L	19.7328701686208	24.3969980010679	NA	21.6589020336509	24.8348131689986	NA
697|L	24.0738733723051	24.1853654450851	24.1441798410344	25.2931281769184	23.7587174356131	26.323170284192
698|L	NA	19.846726785498	NA	NA	20.7416788391171	NA
699|L	NA	19.7127640325186	NA	NA	19.591603590488	NA
702|L	21.9036657359479	24.3985385191437	NA	19.258421359307	25.1365238259054	NA
703|L	NA	NA	NA	NA	21.6951569310085	NA
704|L	NA	NA	NA	NA	21.6951569310085	NA
705|L	22.8777946772255	22.2112650324547	NA	NA	21.5904504886627	22.4952973354911
706|L	22.8777946772255	22.2112650324547	22.5143852452587	23.3842795320307	21.5904504886627	22.4952973354911
707|L	22.0719384469117	NA	23.2194390621561	22.5321392026161	NA	NA
709|L	19.9520896700943	NA	NA	NA	20.2654085361572	NA
710|L	NA	19.8660527864899	NA	NA	19.559097907658	NA
711|L	21.8835764845572	NA	20.7076151642197	20.6831812212334	19.3597753766493	21.5950244304163
714|L	NA	NA	NA	NA	18.9996589758506	NA
715|L	NA	20.7776422116399	NA	22.62221736095	NA	NA
716|L	NA	14.3224002317357	NA	NA	NA	NA
717|L	NA	NA	22.5232423498872	NA	NA	NA
718|L	NA	NA	NA	NA	19.9061524083386	NA
719|L	NA	NA	NA	NA	NA	17.3687366927589
720|L	NA	18.9361090796376	NA	NA	18.9571948151547	NA
721|L	21.128714439097	18.9361090796376	NA	NA	21.230144558556	NA
722|L	NA	21.916551374721	20.3529195077238	18.5671310039612	22.3412826196873	20.5382970831633
723|L	NA	28.2034994284512	NA	25.3002699465401	27.8115858030153	25.5250642128421
724|L	NA	17.8102464363318	NA	NA	20.1547487651147	NA
725|L	NA	NA	NA	NA	16.9813759021166	NA
726|L	24.294535114733	23.5262810180147	24.0072134333071	24.5032891174547	23.2650730346869	23.885961553038
727|L	25.9193957578107	27.2389094937055	26.3057937365589	27.301416595103	27.1057238689419	24.9111347475768
