X	intensity_IB_1_24	intensity_IB2_1_24	intensity_KR_1_24	intensity_IB_30_6	intensity_IB2_30_6	intensity_KR_30_6
150|L	NA	NA	NA	NA	22281000	NA
151|L	10576000	92770000	4568500	5847800	114890000	NA
152|L	540070	1.65e+08	1180300	NA	164740000	410310
155|L	NA	190960	NA	2399200	NA	NA
156|L	NA	190960	NA	2399200	NA	NA
158|L	NA	4343600	NA	NA	NA	NA
159|L	2078500	124770000	15240000	1424300	236910000	25453000
160|L	NA	NA	NA	NA	NA	27080000
161|L	NA	NA	NA	NA	3167900	NA
162|L	NA	NA	NA	NA	NA	5010700
163|L	1569400	84583000	408760	NA	42310000	NA
164|L	NA	NA	192530000	NA	NA	179060000
165|L	16867000	39937000	NA	6235200	46192000	NA
172|L	NA	873130	NA	NA	NA	NA
173|L	NA	13674000	2437900	NA	12337000	3767000
175|L	1148300	649060000	205020	1087700	730180000	660500
176|L	NA	13017000	NA	NA	4634600	NA
177|L	NA	33680000	NA	2309300	10990000	NA
178|L	NA	NA	NA	NA	32331000	NA
179|L	NA	NA	NA	NA	32331000	NA
180|L	NA	NA	NA	NA	32331000	NA
181|L	338940	14087000	NA	NA	13066000	112240
182|L	NA	11709000	NA	NA	53089000	NA
183|L	NA	7251600	NA	NA	10516000	NA
185|L	NA	NA	NA	NA	17305000	NA
186|L	NA	6114700	NA	323560	11502000	NA
187|L	6215700	NA	NA	NA	4582300	NA
188|L	NA	45916000	NA	4858700	91666000	NA
189|L	2116200	NA	1484000	706700	9977200	NA
190|L	4136500	29486000	1614600	6056900	34816000	1273300
191|L	6480600	69116000	7325100	9382000	173120000	2389100
192|L	1688000	612220	NA	NA	NA	NA
193|L	1688000	79775000	NA	NA	256380000	6323000
194|L	4847400	NA	NA	3273500	NA	NA
195|L	NA	152070000	NA	NA	243160000	NA
196|L	NA	123360000	NA	NA	215500000	NA
197|L	154720	NA	NA	NA	NA	NA
198|L	NA	NA	558890	NA	NA	NA
199|L	NA	3310900	5555400	NA	3250100	309310
200|L	NA	91370000	808100	3356400	127330000	NA
201|L	NA	NA	NA	NA	1985700	NA
202|L	NA	NA	976580	NA	NA	NA
203|L	NA	2575800	8997700	NA	NA	17917000
204|L	NA	NA	82253000	NA	NA	95343000
205|L	NA	25341000	NA	NA	61444000	NA
