X	intensity_IB_1_24	intensity_IB2_1_24	intensity_KR_1_24	intensity_IB_30_6	intensity_IB2_30_6	intensity_KR_30_6
978|H	NA	19.8398082791253	NA	19.2176878241138	19.975237853503	NA
985|H	NA	19.9850125428463	NA	NA	17.9104219005457	NA
986|H	NA	NA	NA	NA	NA	17.8619981326067
987|H	23.546421014943	18.6730921048216	NA	20.3190568492975	17.7124026721499	NA
988|H	NA	21.0069384666273	17.7139186618881	NA	21.3659375718108	20.8029083581197
989|H	20.2662259014532	21.8928421264322	20.7917214909404	20.6385867056202	21.0839960737429	23.6585242601396
990|H	22.3220775725278	21.2971105917517	21.1520741839693	23.0657434206045	20.3841045247217	22.8305946341549
992|H	21.003376777202	19.5445512919999	20.696105141633	20.4652922795333	19.3980457014209	19.3238069925333
994|H	18.0721507080709	20.1621208823178	NA	NA	17.2426373138413	NA
997|H	NA	NA	NA	NA	17.1791805370378	NA
998|H	23.7327262464666	19.8614588174227	20.1994229097051	22.6380041439998	16.9455514379468	NA
999|H	NA	18.7164637507629	NA	NA	17.9685047300503	19.722909617191
1000|H	NA	21.9360471211952	NA	NA	20.2431307830035	20.3935277734419
1001|H	NA	21.9360471211952	NA	NA	20.2431307830035	20.3935277734419
1002|H	20.0565215957463	21.3791246412529	21.6511507900897	NA	20.6127722202651	NA
1004|H	20.9222893168066	22.4461164789473	18.879332335145	22.656029310854	22.2459554901968	18.1043665457105
1006|H	NA	18.8330960483413	NA	NA	NA	NA
1007|H	NA	23.1623329809717	NA	NA	24.8183317985306	17.1965438607357
1015|H	20.6437441998111	NA	NA	20.6456713411688	17.4399332734477	NA
1016|H	20.6437441998111	NA	NA	20.6456713411688	20.2127547114468	NA
1017|H	24.9507618201998	22.810065079686	23.7008070803659	25.8317075829936	23.5595833149044	23.0315336850291
1018|H	NA	NA	NA	NA	21.8827223858005	NA
1019|H	NA	NA	NA	NA	21.8827223858005	NA
1020|H	19.6036108450795	20.5799132348914	20.5844408652548	NA	21.9862316464734	NA
1021|H	23.8168063248755	21.6944863319489	18.5868300385286	23.1789454623652	21.8064376982016	20.8977006241405
