id	1h_vs_ud - 30m_vs_ud	6h_vs_ud - 30m_vs_ud	1d_vs_ud - 30m_vs_ud	6h_vs_ud - 1h_vs_ud	1d_vs_ud - 1h_vs_ud	1d_vs_ud - 6h_vs_ud
0	0.284863979630989	0.291784474580211	0.254789173294967	0.00692049494922188	-0.0300748063360216	-0.0369953012852434
1	-0.253256157920824	0.14415204082024	-0.341277229527415	0.397408198741064	-0.088021071606591	-0.485429270347655
2	0.345927711284882	0.199096492506043	0.129318553692961	-0.146831218778839	-0.216609157591921	-0.069777938813082
6	0.0766299975837366	0.0383083208435879	0.0911450454417681	-0.0383216767401486	0.0145150478580315	0.0528367245981801
7	-0.0988232048283865	0.07716618887626	0.145229271368435	0.175989393704647	0.244052476196822	0.068063082492175
13	0.173507558636877	-0.026425713845003	0.440018701219071	-0.19993327248188	0.266511142582193	0.466444415064074
14	-0.976956336970621	-0.413338204992602	-1.07082698980907	0.563618131978019	-0.0938706528384526	-0.657488784816471
24	-0.374776142976959	-0.397064848442089	-0.36614159967056	-0.0222887054651293	0.00863454330639961	0.0309232487715289
26	-0.198598251562575	0.0029575877646222	-0.0188461196196252	0.201555839327197	0.17975213194295	-0.0218037073842474
28	0.0578269393863787	0.179760033352684	0.76658828877643	0.121933093966306	0.708761349390051	0.586828255423746
29	-0.124835294555289	0.163347110359884	0.253280714132017	0.288182404915173	0.378116008687306	0.0899336037721331
32	0.0216264740477728	0.0103137948757312	-0.0501903925062308	-0.0113126791720417	-0.0718168665540037	-0.060504187381962
34	0.291756922847367	0.220092665590218	0.604714264476805	-0.0716642572571488	0.312957341629438	0.384621598886587
35	0.0834910604681824	0.00383607138669087	-0.109728845768101	-0.0796549890814915	-0.193219906236284	-0.113564917154792
37	0.0528340575212294	-0.0729049231846843	0.121202454341586	-0.125738980705914	0.0683683968203567	0.19410737752627
41	0.411835344003355	0.0771968109014365	0.131344645012787	-0.334638533101918	-0.280490698990568	0.05414783411135
42	0.125522549043904	0.231896399056067	0.242500859803714	0.106373850012163	0.11697831075981	0.0106044607476466
44	-0.103077352107427	0.0299295771339208	0.0364362018954018	0.133006929241347	0.139513554002828	0.00650662476148098
46	-0.358070830812078	-0.833342046463885	-0.453461577217725	-0.475271215651807	-0.0953907464056473	0.37988046924616
47	-0.0502752244414758	0.258120062914516	0.282004344115394	0.308395287355991	0.33227956855687	0.0238842812008785
52	-0.164315518397341	-0.0474661939084743	-0.0321920129732284	0.116849324488866	0.132123505424112	0.0152741809352458
53	-0.168542723851074	-0.0605698683372195	-0.101255162332481	0.107972855513854	0.0672875615185931	-0.0406852939952614
56	0.349745774117559	0.0311521285509629	-0.20642811045801	-0.318593645566596	-0.556173884575569	-0.237580239008973
58	0.0817336543826289	0.0269382457994118	0.0560102898135021	-0.0547954085832171	-0.0257233645691268	0.0290720440140903
59	-0.116276017165298	-0.124856587755388	0.102208836043415	-0.00858057059009093	0.218484853208713	0.227065423798804
60	0.65923258304736	0.557633975169587	0.687098721841592	-0.101598607877773	0.0278661387942323	0.129464746672005
62	0.467050190140573	-0.0630826456074499	0.260479966248335	-0.530132835748023	-0.206570223892238	0.323562611855785
63	0.0304170341632716	-0.210172543884299	-0.124369590276488	-0.24058957804757	-0.154786624439759	0.0858029536078111
64	-0.395467568657134	-0.468206865553014	-0.443234926286382	-0.0727392968958799	-0.0477673576292477	0.0249719392666322
65	0.00138944479043721	-0.262906214452386	-0.0608654721130002	-0.264295659242823	-0.0622549169034374	0.202040742339385
67	0.058103033165188	0.0505715208604258	0.573157154340691	-0.00753151230476223	0.515054121175503	0.522585633480265
68	0.308048640447176	0.0810120394051844	0.220775105120878	-0.227036601041991	-0.0872735353262976	0.139763065715694
69	-0.222698419410207	-0.347560353496754	-0.284727868535409	-0.124861934086547	-0.0620294491252022	0.0628324849613447
72	0.446546771664565	0.683371324700397	0.773325853038132	0.236824553035832	0.326779081373568	0.0899545283377356
75	-0.764898600198801	-0.26907864020662	-0.408653563725919	0.495819959992182	0.356245036472882	-0.1395749235193
76	0.286441063713154	0.0310090061020448	0.227741266122322	-0.255432057611109	-0.0586997975908322	0.196732260020277
77	-0.222744684610179	-0.278789939920946	0.0132104890926321	-0.0560452553107667	0.235955173702811	0.292000429013578
78	-0.0804959500698344	-0.045391017836318	-0.277139498645022	0.0351049322335164	-0.196643548575188	-0.231748480808704
80	-0.420199539859018	-0.389625330673685	-0.22936487466625	0.0305742091853336	0.190834665192769	0.160260456007435
83	0.421706096222937	0.0416200450558101	0.0139229122176227	-0.380086051167127	-0.407783184005315	-0.0276971328381874
88	0.306354462852448	-0.146708376616784	0.169294489713647	-0.453062839469232	-0.137059973138801	0.316002866330431
93	0.355991495662024	0.362400481080587	0.141401035135241	0.00640898541856294	-0.214590460526782	-0.220999445945345
96	0.194885445861952	0.155063453474127	0.235538562098525	-0.0398219923878249	0.0406531162365728	0.0804751086243978
99	-0.281151989466245	1.1651451643493	-1.41642976095279	1.44629715381554	-1.13527777148654	-2.58157492530208
100	-0.0230084705679455	-0.00410807147618087	-0.0547808467567227	0.0189003990917646	-0.0317723761887772	-0.0506727752805418
