id	1h_vs_ud|IB	30m_vs_ud|IB	1h_vs_ud|IB2	30m_vs_ud|IB2	1h_vs_ud|KR	30m_vs_ud|KR	1d_vs_ud|IB	6h_vs_ud|IB	1d_vs_ud|IB2	6h_vs_ud|IB2	1d_vs_ud|KR	6h_vs_ud|KR	logFC	AveExpr	t	P.Value	adj.P.Val	B
3886	0.213617152066535	0.560442199669078	NA	NA	0.465598673337417	NA	-0.191282877785395	-1.4976963882126	NA	NA	-0.175972149713185	NA	-1.83730430091457	-0.104215565106358	-10.6084289238304	8.20983317417307e-05	0.134929895112552	-0.288468248574229
3874	0.424273485197315	NA	-0.23779694465916	NA	NA	-2.30580152427197	0.156044591150205	NA	0.347876395244666	NA	NA	-2.47940343906855	-2.86547837928954	-0.682467906067914	-10.1288685983599	0.000104245603893805	0.134929895112552	-0.34644809566254
2804	0.196647383105211	0.600212116168914	NA	NA	-0.0493706922928703	NA	-0.0653252053026626	-1.94962547655748	NA	NA	0.271613351734471	NA	-2.02326382196365	-0.165974753857402	-9.2298195998201	0.000167954538169589	0.134929895112552	-0.474752781171106
4892	NA	-0.202840517836653	NA	NA	1.07198354770528	-0.169466706113791	NA	-0.0681237542250374	NA	NA	-0.237006060592587	-0.0821024859365084	-1.14709666778606	0.0520740038334511	-9.08818863905355	0.000181748242339105	0.134929895112552	-0.497678153022039
1322	NA	0.0270666343423764	NA	NA	-1.29236501429204	-0.153260834413232	NA	0.112710085955948	NA	NA	-0.36899106278555	0.181606345046032	1.43952322979303	-0.248872307691078	7.92098772339361	0.000364365467757971	0.193217802331084	-0.722009431316324
761	-0.457779845196251	NA	NA	NA	-0.579427158401753	0.183707754407734	0.00446160538100293	NA	NA	NA	0.0168359830048355	0.475119460347307	0.993722962146308	-0.0595137000761874	6.79181523656555	0.000781252237122288	0.340803717469461	-1.01750833863111
3457	NA	0.133992408392264	NA	0.0245393703836515	0.834428382081493	0.0618071769867658	NA	-0.508698623619581	NA	-0.222306764183853	-0.165139695094363	-0.278564893863875	-1.08866976444809	-0.0149928298646872	-4.86434800652917	0.00156864352252315	0.365445671090381	-1.11369771200818
330	NA	-0.0572054859410665	-0.603955162025928	-0.514016580800793	NA	NA	NA	-0.295273058841272	1.01603549301853	0.366213492951244	NA	NA	-1.42068031283956	-0.0147002169398816	-6.39920518966606	0.00104407975014534	0.340803717469461	-1.14431866766543
5765	NA	0.15931931569776	-0.157150884944693	0.354030356211681	NA	NA	NA	0.346467640758244	-0.433254630934456	0.193385669114714	NA	NA	0.783503629419418	0.0771329109838749	6.29876409741618	0.00112707106488222	0.340803717469461	-1.17913086829614
1601	NA	-0.3339601735982	NA	NA	-0.600353084640933	-0.501204205888685	NA	0.269891490546509	NA	NA	-0.0127178756842433	0.189796516980298	0.830197088404336	-0.164757888714209	4.91361471766907	0.00361034305677433	0.445508090068498	-1.78036490604113
