id	1h_vs_ud - 30m_vs_ud	6h_vs_ud - 30m_vs_ud	1d_vs_ud - 30m_vs_ud	6h_vs_ud - 1h_vs_ud	1d_vs_ud - 1h_vs_ud	1d_vs_ud - 6h_vs_ud
6	0.0109473529727002	-0.217061112670592	0.0063057981274305	-0.228008465643292	-0.00464155484526974	0.223366910798022
25	0.0965419825435373	-0.266033458021753	0.0418319075300429	-0.36257544056529	-0.0547100750134943	0.307865365551796
35	-0.0297419501960114	-0.155732056395062	-0.00323550954307655	-0.125990106199051	0.0265064406529349	0.152496546851986
41	-0.0407679047080069	0.265861071834244	-0.20684913786194	0.306628976542251	-0.166081233153933	-0.472710209696184
44	-0.0979534143466924	-0.371446489233241	-0.0542316150785458	-0.273493074886549	0.0437217992681466	0.317214874154695
60	0.225150704218272	-2.42670761573447	-2.54787130360292	-2.65185831995274	-2.77302200782119	-0.12116368786845
69	-0.202855415415642	-0.0448730615017434	-0.0685444239026426	0.157982353913898	0.134310991512999	-0.0236713624008992
77	0.249355446198764	0.275010293070906	0.228654443954515	0.0256548468721422	-0.0207010022442482	-0.0463558491163903
80	-0.41454354278281	-0.0604925494716337	-0.521881207747132	0.354050993311176	-0.107337664964323	-0.461388658275499
83	-0.137521374659118	-0.399026150548299	-0.143969747388689	-0.261504775889181	-0.00644837272957141	0.25505640315961
91	0.394156048595112	0.406187604163455	0.316665322195745	0.012031555568343	-0.0774907263993666	-0.0895222819677096
99	0.120157104022292	-0.301386826208213	-0.215747671267157	-0.421543930230505	-0.335904775289449	0.0856391549410568
114	0.297089280569965	0.172053254370648	0.416272717391325	-0.125036026199317	0.11918343682136	0.244219463020677
116	0.246570472031424	0.231292196098701	-0.0261660308921212	-0.0152782759327227	-0.272736502923545	-0.257458226990822
131	-0.19768570894753	0.0790036339175605	-0.121604883587859	0.276689342865091	0.0760808253596709	-0.20060851750542
134	0.166944705913496	0.706445339448971	0.378653536152625	0.539500633535475	0.211708830239129	-0.327791803296347
137	0.160477355056849	-0.0806803920303528	0.0243286949405088	-0.241157747087202	-0.13614866011634	0.105009086970862
152	0.194093360885501	-0.284341388196718	0.149540788807986	-0.478434749082219	-0.0445525720775151	0.433882177004704
154	0.0561393753867796	-0.350626802064071	-0.280190419524775	-0.40676617745085	-0.336329794911554	0.0704363825392961
164	0.604268485418561	0.0658943523806301	0.058371166215394	-0.538374133037931	-0.545897319203167	-0.00752318616523606
167	-0.386741870845773	-0.0337688712470569	0.198488866503486	0.352972999598716	0.585230737349258	0.232257737750543
169	0.668704382350871	0.431482959383558	0.812118528600807	-0.237221422967312	0.143414146249936	0.380635569217248
183	0.492326183643139	0.20700586542204	0.0601097477667596	-0.285320318221099	-0.43221643587638	-0.146896117655281
204	0.347453256609719	-0.0566971292389021	0.00115434532463149	-0.404150385848621	-0.346298911285087	0.0578514745635336
205	0.207817991028185	0.0585860395077041	0.412183123919602	-0.149231951520481	0.204365132891417	0.353597084411898
248	0.360827672141061	0.375304621044234	0.539107407503836	0.0144769489031735	0.178279735362775	0.163802786459602
254	0.0247944724010642	0.056842864003147	-0.0307739365237081	0.0320483916020829	-0.0555684089247723	-0.0876168005268552
260	0.409025917242018	0.246973791354496	0.711998129778301	-0.162052125887522	0.302972212536283	0.465024338423805
264	0.596854074550048	0.359737590834943	0.357417472736793	-0.237116483715105	-0.239436601813256	-0.00232011809815015
277	0.170274417142062	0.0118604578271601	0.134226847925412	-0.158413959314902	-0.0360475692166496	0.122366390098252
296	-0.134830530460285	0.00446447831102974	0.0211348829643514	0.139295008771314	0.155965413424636	0.0166704046533217
302	0.224088037543428	-0.160108897830883	-0.0953930713826859	-0.384196935374311	-0.319481108926114	0.0647158264481967
307	0.109002371165868	0.0381070088457488	0.285468059237871	-0.0708953623201196	0.176465688072002	0.247361050392122
318	-0.225181225080634	-0.217867733855711	-0.28118138005637	0.007313491224923	-0.0560001549757359	-0.0633136462006589
320	-0.196184252709409	-0.330369094805412	-0.177654014804539	-0.134184842096003	0.0185302379048699	0.152715080000873
328	0.494569082094933	0.45048871043463	0.692253407090935	-0.0440803716603035	0.197684324996002	0.241764696656306
336	-0.0736496136741176	0.19666079635404	0.465645960373248	0.270310410028157	0.539295574047365	0.268985164019208
337	-0.107893199945893	0.0363652825897371	0.00243510218340467	0.14425848253563	0.110328302129298	-0.0339301804063325
351	-0.21237265454656	-0.113549714924998	-0.0898999526387059	0.0988229396215614	0.122472701907854	0.0236497622862926
352	0.308446300804337	0.406235373379471	0.0516983813131804	0.097789072575134	-0.256747919491156	-0.35453699206629
360	0.445251534274366	0.197819610496626	0.425356491122915	-0.247431923777739	-0.0198950431514511	0.227536880626288
363	0.498275534533251	0.176999941848059	0.417209258423801	-0.321275592685192	-0.0810662761094501	0.240209316575742
371	0.0520887101808891	-0.239304323301369	-0.253070638406898	-0.291393033482258	-0.305159348587787	-0.0137663151055295
384	-0.0888230559979362	-0.1047460061298	0.33517138370496	-0.0159229501318641	0.423994439702896	0.43991738983476
395	0.424550371849546	0.0375074967328037	0.0392455576620218	-0.387042875116742	-0.385304814187524	0.00173806092921808
400	0.0615235945037189	0.199696834372563	0.1932124807905	0.138173239868844	0.131688886286782	-0.00648435358206259
412	-0.0908458904125524	0.440195344370629	-0.268524009558528	0.531041234783181	-0.177678119145976	-0.708719353929157
421	-0.323595309487358	-0.627386145607235	-0.296126246309556	-0.303790836119876	0.0274690631778028	0.331259899297679
428	0.226224078737581	0.343197883793865	0.359839937843395	0.116973805056285	0.133615859105814	0.0166420540495295
430	0.24805273952994	-0.0216456987998577	0.273697991116366	-0.269698438329798	0.025645251586426	0.295343689916224
449	-0.00452262020117309	0.0554183830182381	-0.0333745872192514	0.0599410032194112	-0.0288519670180783	-0.0887929702374895
