id	1h_vs_ud - 30m_vs_ud	6h_vs_ud - 30m_vs_ud	1d_vs_ud - 30m_vs_ud	6h_vs_ud - 1h_vs_ud	1d_vs_ud - 1h_vs_ud	1d_vs_ud - 6h_vs_ud
12	0.462403752665432	-0.0292386467765838	-0.117539426053938	-0.491642399442016	-0.57994317871937	-0.0883007792773541
33	-0.0368960772170424	0.217227822184682	0.478486219348864	0.254123899401724	0.515382296565906	0.261258397164182
36	-0.149583357330462	0.281060774625375	0.151875208225325	0.430644131955837	0.301458565555787	-0.12918556640005
67	0.151871218290343	0.0102459083895877	0.195354764363675	-0.141625309900755	0.0434835460733316	0.185108855974087
73	0.0553627020174629	-0.0603651039990142	0.347135335785288	-0.115727806016477	0.291772633767826	0.407500439784303
86	-0.217114741754088	-0.0253718388897731	0.106694138405138	0.191742902864315	0.323808880159226	0.132065977294911
114	0.0952442056206546	0.0683889568295101	-0.34580067124115	-0.0268552487911444	-0.441044876861805	-0.41418962807066
120	0.0276223530913568	-0.19564294932702	-0.168915754076395	-0.223265302418376	-0.196538107167752	0.0267271952506247
124	-0.0569634606679779	0.113733742973047	0.0355141031046424	0.170697203641024	0.0924775637726203	-0.0782196398684042
127	-0.179637797780123	-0.339410521647756	-0.201264826684865	-0.159772723867632	-0.0216270289047411	0.138145694962891
128	-0.197324147563209	-0.282451332603311	-0.0510835573557145	-0.0851271850401019	0.146240590207495	0.231367775247596
131	0.25696100998932	0.011287981487143	0.235904335829275	-0.245673028502177	-0.0210566741600456	0.224616354342132
157	-0.0263439441308004	-0.158476693938488	0.215534944618123	-0.132132749807688	0.241878888748923	0.374011638556611
181	-0.113277953757077	0.347545419313911	0.142489877745995	0.460823373070989	0.255767831503072	-0.205055541567917
186	-0.498977301728282	-0.492422566704779	-0.564501799193046	0.00655473502350351	-0.0655244974647634	-0.0720792324882669
201	-0.1083718119258	0.0772383970460146	0.0689215746697757	0.185610208971814	0.177293386595575	-0.00831682237623887
257	0.0333513089851252	-0.205894437632787	0.0356184382564484	-0.239245746617913	0.00226712927132325	0.241512875889236
271	-0.193150878571753	0.160138551487377	0.16878938253204	0.35328943005913	0.361940261103793	0.00865083104466285
277	0.547563648242329	-0.1680529042844	-0.594118337606081	-0.715616552526728	-1.14168198584841	-0.426065433321681
283	-0.068961012864726	0.609128622693995	0.759730066618536	0.678089635558721	0.828691079483262	0.150601443924541
287	0.377851980308874	0.001263090773028	0.216897179600549	-0.376588889535846	-0.160954800708325	0.215634088827521
309	-0.107737418606984	-0.290615682858677	-0.323337159661456	-0.182878264251693	-0.215599741054472	-0.0327214768027789
356	0.62927999736598	0.10284380306803	0.0829716220065474	-0.52643619429795	-0.546308375359433	-0.0198721810614828
395	-0.301792063407187	-0.189953468953635	-0.592220731501304	0.111838594453552	-0.290428668094118	-0.402267262547669
414	0.634100380101602	-0.0998346603166875	0.098862958540684	-0.73393504041829	-0.535237421560918	0.198697618857372
421	0.196820291309612	-0.233272331404693	-0.223902266321753	-0.430092622714305	-0.420722557631365	0.00937006508293965
445	-0.218106992615228	-0.108721963580223	0.0109509087218657	0.109385029035005	0.229057901337093	0.119672872302089
503	0.684815825261238	0.073136208141693	0.359644945557321	-0.611679617119545	-0.325170879703916	0.286508737415628
534	-0.337752854691274	-0.0156751153986621	-0.0300350560041445	0.322077739292612	0.30771779868713	-0.0143599406054823
535	0.209213769723095	-0.174724643270728	-0.161528421679841	-0.383938412993823	-0.370742191402937	0.0131962215908863
547	0.518085800623394	0.312247838979763	0.342962456470946	-0.205837961643631	-0.175123344152448	0.030714617491183
549	0.0687243481358547	0.173101707418914	0.222743726080397	0.104377359283059	0.154019377944543	0.0496420186614831
582	-0.0781301089545468	-0.155859088742677	0.0017060949022726	-0.07772897978813	0.0798362038568194	0.157565183644949
591	-0.0890220742242067	0.295255078076374	0.272897897704343	0.38427715230058	0.361919971928549	-0.0223571803720309
617	0.578320772130026	0.145265572887555	0.349350791744208	-0.433055199242471	-0.228969980385817	0.204085218856653
627	-0.305656389844013	-0.504653105351059	-0.187336168252178	-0.198996715507046	0.118320221591835	0.317316937098881
633	-0.255430942943051	-0.600819203902643	-0.453878331523815	-0.345388260959593	-0.198447388580764	0.146940872378828
648	-0.0409654635968875	0.166773747011099	-0.0383362960398599	0.207739210607987	0.00262916755702754	-0.205110043050959
667	0.405802574161252	0.355119205621912	0.0759933591968531	-0.0506833685393404	-0.329809214964399	-0.279125846425059
674	-0.212292390201107	-0.194419530470694	-0.019593400503396	0.0178728597304128	0.192698989697711	0.174826129967298
676	0.0146068023996396	0.10966490084142	0.0538859763442024	0.0950580984417806	0.0392791739445629	-0.0557789244972178
698	0.64279349669676	-0.0378923839508388	0.0479321271392519	-0.680685880647599	-0.594861369557508	0.0858245110900908
709	0.230133471443765	1.1134359579529	-1.84397224017177	0.883302486509134	-2.07410571161554	-2.95740819812467
711	1.45622713641193	0.278063854391049	-0.433985536619677	-1.17816328202088	-1.89021267303161	-0.712049391010726
716	-0.0605507134565584	-0.433152703674743	-0.204534375907394	-0.372601990218184	-0.143983662450835	0.228618327767349
724	0.18994027816344	0.0265273369056401	0.0305554952542848	-0.1634129412578	-0.159384782909155	0.00402815834864474
761	-0.087717395445	-0.0900231950292495	-0.0331449375244598	-0.0023057995842496	0.0545724579205401	0.0568782575047897
768	0.249010335978235	0.434825580437025	0.406874691830387	0.18581524445879	0.157864355852152	-0.0279508886066375
790	0.338486391732008	0.0582978462825525	0.539817643997051	-0.280188545449455	0.201331252265043	0.481519797714498
800	-0.0835630888052005	0.176219251340653	-0.140396307236135	0.259782340145854	-0.0568332184309345	-0.316615558576788
801	0.0342887465411867	-0.054156064342741	0.0590432726445337	-0.0884448108839277	0.024754526103347	0.113199336987275
812	-0.187044097235005	0.0201073199220283	0.16172320789592	0.207151417157034	0.348767305130926	0.141615887973892
814	-1.33583836305158	0.135089008787704	-0.0435279782827294	1.47092737183928	1.29231038476885	-0.178616987070433
815	0.0672324649911265	-0.0546978318469233	0.0276834934206203	-0.12193029683805	-0.0395489715705061	0.0823813252675436
822	-0.00185039591977738	0.0421422572824059	0.0256158569923187	0.0439926532021833	0.0274662529120961	-0.0165264002900872
828	-0.0143252448802172	-0.309337677108179	-1.62157582359869	-0.295012432227962	-1.60725057871847	-1.31223814649051
838	1.35121987270874	-0.886571264711091	2.61935399765334	-2.23779113741983	1.2681341249446	3.50592526236443
840	-0.262779521651891	-0.0426847519691996	-0.0690429555542153	0.220094769682692	0.193736566097676	-0.0263582035850156
852	0.63979256927869	0.872960782431405	0.414327243643647	0.233168213152715	-0.225465325635043	-0.458633538787758
854	-0.0948084607079578	-0.425919652461574	-0.00109700746906083	-0.331111191753616	0.093711453238897	0.424822644992513
871	0.160035075040594	0.22211892642674	0.366226055514954	0.0620838513861466	0.20619098047436	0.144107129088213
901	0.370643671931729	0.115754811592483	0.199845229223356	-0.254888860339246	-0.170798442708373	0.0840904176308733
903	-0.0397684957335232	-0.137326247929541	-0.340695483120697	-0.0975577521960178	-0.300926987387173	-0.203369235191156
904	0.331571624683774	-0.0897441968645485	0.303751131582314	-0.421315821548323	-0.0278204931014602	0.393495328446863
924	-0.427656741922151	0.209823892312685	0.152384865375665	0.637480634234836	0.580041607297816	-0.0574390269370205
935	-0.101802334954286	0.356779893430689	0.57214687071775	0.458582228384976	0.673949205672037	0.215366977287061
961	-0.0190566877995149	-0.20267836984548	0.0791366822739164	-0.183621682045965	0.0981933700734313	0.281815052119396
1015	0.247376199235043	0.23200753421083	-0.438886905714142	-0.0153686650242126	-0.686263104949185	-0.670894439924973
1019	0.30012473428548	0.428004409077299	0.570547056030317	0.12787967479182	0.270422321744838	0.142542646953018
1030	-0.340225803429626	-0.138157496735797	-0.173291537306701	0.202068306693829	0.166934266122925	-0.0351340405709036
1037	0.457117257983068	-0.263321866992626	0.253326754896579	-0.720439124975694	-0.203790503086489	0.516648621889205
1045	-0.068481784568918	-0.131425947117108	-0.087685952863928	-0.0629441625481898	-0.01920416829501	0.0437399942531798
1053	-0.0967229581020768	-0.161112391990775	-0.123888959433432	-0.0643894338886978	-0.027166001331355	0.0372234325573428
1085	-0.0189572248975423	-0.158682636861704	-0.370934240945245	-0.139725411964161	-0.351977016047703	-0.212251604083541
1093	0.0605403942427958	0.133991367409406	-0.562378563180527	0.0734509731666104	-0.622918957423322	-0.696369930589933
1097	-0.0528854021247552	-0.15251550661607	-0.240951525287278	-0.0996301044913152	-0.188066123162523	-0.0884360186712079
1099	0.576027028702673	0.138672649038501	0.332349347873931	-0.437354379664172	-0.243677680828742	0.19367669883543
1107	0.0607544910703808	0.0923113200135524	0.322868868607923	0.0315568289431716	0.262114377537542	0.23055754859437
1110	0.0316956865269857	-0.186522085136007	-0.35577567819509	-0.218217771662992	-0.387471364722075	-0.169253593059083
1118	0.508921376270656	0.693048548692885	-0.0211685808978638	0.184127172422229	-0.530089957168519	-0.714217129590749
1123	0.173071824398755	0.244334106964744	0.302079402700188	0.0712622825659893	0.129007578301433	0.0577452957354434
1125	0.484128023559121	0.290264899442431	0.34104015167758	-0.19386312411669	-0.14308787188154	0.0507752522351499
1148	0.0560158535408245	-0.733081758919231	0.450152831464484	-0.789097612460056	0.394136977923659	1.18323459038371
1154	0.465255682036948	0.0328591512535271	-0.124732965068599	-0.432396530783421	-0.589988647105547	-0.157592116322126
1177	-0.000947634155157709	0.0601730078029727	-0.064068224789807	0.0611206419581304	-0.0631205906346493	-0.12424123259278
1190	-0.444653139660654	0.25746853866014	-0.0802910769099738	0.702121678320794	0.36436206275068	-0.337759615570114
1207	0.269035786476051	-0.010574477141147	0.191173721519907	-0.279610263617198	-0.0778620649561439	0.201748198661054
1211	-0.208435299586503	0.179333565568531	0.308197456781705	0.387768865155034	0.516632756368208	0.128863891213174
1246	0.06451173970795	-0.326774157034703	-0.109167855503444	-0.391285896742653	-0.173679595211394	0.217606301531259
1258	-0.0742817270252109	0.0422786973238485	0.0157648643626726	0.116560424349059	0.0900465913878836	-0.0265138329611759
1294	-0.170114966217991	0.248999827656541	0.0232881647812445	0.419114793874532	0.193403130999235	-0.225711662875296
1295	-0.053496414456251	-0.244001874688955	-0.10727404995157	-0.190505460232704	-0.0537776354953189	0.136727824737385
1313	0.0117728171770187	0.423771849923863	-0.0790624238784406	0.411999032746844	-0.0908352410554593	-0.502834273802303
1324	4.37828655116832	1.86737865870624	2.84626469341605	-2.51090789246208	-1.53202185775227	0.978886034709812
1333	-0.0985574100126468	-0.0436001587508004	-0.0977780049927752	0.0549572512618463	0.000779405019871594	-0.0541778462419748
1381	0.0933507663650153	0.082913372027884	0.165215808645358	-0.0104373943371313	0.0718650422803426	0.0823024366174739
