id	1h_vs_ud|IB	30m_vs_ud|IB	1h_vs_ud|IB2	30m_vs_ud|IB2	1h_vs_ud|KR	30m_vs_ud|KR	1d_vs_ud|IB	6h_vs_ud|IB	1d_vs_ud|IB2	6h_vs_ud|IB2	1d_vs_ud|KR	6h_vs_ud|KR	logFC	AveExpr	t	P.Value	adj.P.Val	B
4925	0.0902162685217222	-0.106275639105224	0.0677219723460838	NA	0.172942719358441	NA	-0.319013096946081	1.38911456276327	0.328788839914655	NA	0.109273554092709	NA	1.191798620165	0.216596147618198	6.26530567224789	0.000222451459482483	0.199316507696305	-0.0973469291141633
4423	1.010145316826	-0.120461143943358	NA	NA	NA	0.0825255386598283	0.83689782806038	-0.12479128535957	NA	NA	NA	0.0255518092088786	-1.05976505490135	0.28497801057536	-5.89540757845215	0.000962038305728044	0.248834307326747	-1.18375760786031
2202	NA	0.139172584444737	NA	-0.132512977471499	0.445844149151715	0.285351116919034	NA	-0.295642045914974	NA	0.159354734254838	0.0752329956703518	-0.079416171524961	-0.615034547455527	0.074673048191155	-4.56548097986328	0.00174516593436706	0.248834307326747	-1.28984133653699
2040	-0.487286168877637	0.111946538772698	NA	NA	NA	0.0916727016185709	-0.179361888057229	0.586852713214132	NA	NA	NA	0.306634705871293	0.934029878420349	0.0717431004236381	5.63442147408468	0.00122356905414952	0.248834307326747	-1.29751535101627
5263	0.14394614031925	NA	0.260303308526072	1.04360367105859	NA	NA	0.107378910349728	NA	-0.17011054142025	0.485569067963838	NA	NA	1.05668587160909	0.311781759466204	5.12878018330741	0.00199609354943253	0.248834307326747	-1.54405531501539
4911	NA	-0.193767763665347	0.538574902085839	-0.0821989273788022	NA	-0.202794707009282	NA	-0.324263988086748	0.46966532516544	-0.00433906560821964	NA	-0.124594324527196	-0.646684405163022	0.00953518137196053	-4.24216800271954	0.0027047747678711	0.265762229056017	-1.5751413857413
414	NA	0.0339440619444211	NA	NA	0.659591292880354	0.21476368069445	NA	-0.0755322186746765	NA	NA	0.0254909127787516	-0.0731552764011953	-0.73393504041829	0.130850408870351	-5.0224386380286	0.00222173488684596	0.248834307326747	-1.60068087727996
3296	NA	-0.1976225351326	NA	NA	-0.373850186560953	-0.299714283344515	NA	0.766709203847139	NA	NA	0.455776941237984	0.359114794859468	0.936762185914257	0.118402322484421	4.75348859203511	0.00293277079149652	0.265762229056017	-1.7519216461616
1966	-0.134002632174303	0.0851135283623925	-0.269745555827212	1.75684380417945	-0.413020030273926	0.133182199958337	0.0887542561521292	0.354776621345433	-0.200313978859028	0.719275380138141	0.13085704579557	0.289934787544288	1.04963061812547	0.211804618861772	3.30273441632914	0.00620544005568412	0.304693387266533	-2.09693190026893
2610	NA	NA	0.0269316342771628	-0.231112245438167	NA	0.0564026078536002	NA	NA	0.541799446376267	0.00465190947801442	NA	0.00156024592772661	-0.656575446131487	0.0667055997457672	-4.16005160195191	0.00561163798069478	0.304693387266533	-2.12974197582586
1286	-0.469500657495886	-0.18156743186176	-0.119668147675786	0.087140787846391	-0.573486559754811	-0.210833845809624	-0.290721559418509	1.06766318435104	0.146300174958103	0.338622809743341	0.282030059270107	0.499037616832547	0.850176210440858	0.0479180359154297	3.27689353503778	0.00651176852993879	0.304693387266533	-2.13802795469956
924	NA	0.356282180838333	NA	NA	-0.336863136212737	0.130074761331825	NA	0.305116133430165	NA	NA	0.0907936057094139	0.296118862614033	0.637480634234836	0.140253734618505	4.1422400288568	0.0057265900964582	0.304693387266533	-2.14208227416434
1944	0.120343166547378	0.169621663617833	NA	NA	-0.28865931223283	NA	0.0273718144737573	0.811353879491448	NA	NA	0.286082745928401	NA	0.895511952334174	0.187685659637664	4.13263171865329	0.00578968961599061	0.304693387266533	-2.14876431043786
3471	NA	-0.0857798342220732	NA	NA	0.498126852730075	0.185945679400257	NA	-0.258183305594038	NA	NA	-0.638030832134423	-0.298899705167721	-0.776668358110954	-0.0994701908313205	-4.0039766733656	0.00671374408427768	0.304693387266533	-2.23994941856066
4341	NA	NA	-0.0139047975591582	NA	0.387424072446946	-0.0862704553569057	NA	NA	0.118557599067122	NA	-0.0336019291948498	-0.43978792474415	-0.692778760501184	-0.0112639058901659	-3.96657821420899	0.00701235028748521	0.304693387266533	-2.26705895972055
1148	-0.139182646890109	NA	NA	-0.762621004951616	0.192135861906989	NA	0.0263195146612719	NA	NA	0.420613585432099	-0.0853980067260414	NA	-0.789097612460056	-0.0580221160945679	-3.94936728337248	0.00715471016990515	0.304693387266533	-2.27962693341366
4757	0.390486202246585	0.0226746607897912	NA	-0.0959283411296965	NA	NA	0.241624814088378	-0.309146841139766	NA	0.0286929678843609	NA	NA	-0.593023793381316	0.0464005771232755	-3.81460759415768	0.00838716515784281	0.304693387266533	-2.38005347702243
4451	NA	-0.272010967461545	NA	NA	-0.189410082471168	-0.354612028476376	NA	0.921566857593246	NA	NA	0.403305837672492	0.4049964793018	0.852691750918691	0.152306016026408	3.77892923588496	0.00875169090361498	0.304693387266533	-2.4072458641273
1037	0.0456563768029133	-0.0617768255903528	-0.215713667239192	NA	0.353618603139107	NA	-0.556333225027141	-0.578425447479558	0.0267660525463883	NA	-0.173263849194463	NA	-0.720439124975694	-0.144933997755287	-3.31271946107475	0.0103618687985871	0.304693387266533	-2.50734760498472
5248	0.300960070696152	-0.0829946640860164	NA	NA	0.229882057499413	NA	0.440704470448948	-0.608125037373616	NA	NA	-0.131155650421345	NA	-0.873546101471399	0.0248785411272559	-3.56647382767298	0.0113207557409113	0.304693387266533	-2.57445565124577
