id	1h_vs_ud|IB	1d_vs_ud|IB	30m_vs_ud|IB	6h_vs_ud|IB	1h_vs_ud|IB2	1d_vs_ud|IB2	30m_vs_ud|IB2	6h_vs_ud|IB2	1h_vs_ud|KR	1d_vs_ud|KR	30m_vs_ud|KR	6h_vs_ud|KR	logFC	AveExpr	t	P.Value	adj.P.Val	B
535	0.820387111667869	-0.153499391850771	0.876050734138973	0.503166494166449	0.949043783128168	0.180120916079979	1.01714802970944	0.129318616352894	1.10621429178819	-0.00241624911770016	0.633641867432922	0.0890164938591841	-0.718047860735235	0.5123493914463	-3.97887908892163	0.00188820345324439	0.0363089397981673	-1.30515357615503
5346_1	-0.635573889704483	1.03136286640408	NA	NA	-0.979214610743547	-1.04066456677572	NA	NA	-0.47333446072682	0.393932185079297	-0.671407432389233	2.08228611129272	2.77832709835101	-0.0365767246954624	4.21868183431667	0.00308789405914935	0.0488738141733078	-1.37529645133202
2071	0.523235361254233	0.0495865708834363	0.497052777800225	-0.405292804584614	0.438129370522867	-0.198946716573993	0.375706155339225	-0.148465793958703	0.429043984609091	-0.396721152694652	0.303629180609475	0.0926726546902275	-0.617164886746427	0.129969132324735	-3.93322452994026	0.00204870660777635	0.0383016007377227	-1.38589129924812
3196_1	-1.04927192119778	-0.205915168997107	-0.805918905934612	-0.268261805920745	-1.7418588528139	-0.0815949705523241	-0.46417134283127	0.166838455418498	-0.912796367667145	-0.633240654897574	-0.650586707616539	-0.55106318989905	1.01714686709251	-0.599820119409129	3.928559962191	0.00206587977397783	0.0383016007377227	-1.39415007263616
3587	0.225413036252304	-0.191872292158592	1.75715401067469	-0.251274148878076	0.888279642936791	-0.24546823541428	0.941365629461784	-0.148689071804041	1.02340124122845	-0.468963976992075	1.43688904656043	-0.283477048313262	-0.940178063137642	0.390229819462843	-3.92389640478448	0.00208319775004789	0.0383016007377227	-1.4024088210659
1649_2	2.54949604156145	0.174882936919375	1.36421058314737	-0.393070156107064	0.81051810164173	1.16934493489146	1.05745809385248	-0.197379995587811	1.72497902734155	-0.794624195469737	1.43105840120682	0.119108209271715	-1.85211170432263	0.751331831889111	-3.87641166133065	0.00226829418843705	0.0401510133563781	-1.48659816652151
4484	0.798189033566856	0.345605229772082	1.05159602634667	0.339842203105763	0.989474288985599	0.317167320290095	1.05884896484513	0.108829688126453	1.05856088749204	-0.0484546841144246	0.975709929444891	0.402722450708486	-0.664943289367931	0.61650761154747	-3.87365032916656	0.00227956612090123	0.0401510133563781	-1.49149930938351
4517_2	0.265418235218608	-0.567457697154772	NA	NA	0.403562507605545	-0.856266334704484	NA	NA	0.231098514361806	-0.998362547686895	0.252957209184152	-0.574282415063764	-0.87430883412575	-0.230416566029975	-4.12408719714487	0.00350758315836188	0.053274596376279	-1.49833509879772
2759_1	-0.705400671050815	-0.0260077954426156	-0.588603079414049	0.0897972856381852	-0.934243013204319	0.278475576704512	-0.263234012045403	-0.379686910972103	-0.737320978421718	-0.354294153718991	-0.414201563552321	0.000540201872736956	0.695871746405223	-0.336181592800575	3.85860649266684	0.00234199792131248	0.040630211051759	-1.51821096753799
6302	0.154316670000826	0.0969878356779671	-0.0164639129473921	0.126687258578232	0.711530228531583	0.0421504599602896	-0.027947193236801	-0.367760637232931	0.487588729196532	0.138649081251014	0.104655411812096	-0.383004227265246	-0.659171077882962	0.0889491420271807	-3.85353049409863	0.00236345853720783	0.040630211051759	-1.52722764383032
114	0.7227265611043	-1.00832283702701	-0.737051456516232	-0.785293650975496	0.468220153486544	-0.110841646466487	-1.64012675803505	-1.92736031027008	0.583198026410717	-1.99294343294506	-0.732549774052242	-0.741579389938009	-1.74279269739505	-0.658493709602008	-3.85318504101094	0.00236492640663864	0.040630211051759	-1.52784135328842
332	0.279060128945729	0.386204170250224	0.653843104740862	-0.91635348226063	0.414385103851645	-0.164841901015061	0.436317522833281	-0.383436908849803	0.547312702080339	-0.101030510412609	0.182105965186517	-0.0415055495435742	-0.86068462517724	0.10767169548391	-3.81815899353175	0.00251873812233916	0.0427436915669549	-1.59011102093062
7216	-0.200673339315887	-0.853139391947857	-0.0154782818820641	-0.553986763647789	-0.232523363681316	-0.611401342692386	-0.118018483583101	-0.980509887163903	0.012382828590746	-0.561218995108474	-0.407259464434618	-0.729300023723229	-0.614327600042821	-0.437593875715823	-3.81596040686783	0.00252872984460993	0.0427436915669549	-1.5940225863657
2512	0.59898369535725	0.245491424596562	0.202881517246717	-0.401282278210012	0.417318794465489	0.0146182857733411	0.115318877162695	-0.0763992642967881	0.257986445157793	0.193611605183179	0.478102357336699	-0.037286940202523	-0.596419139229952	0.167445376630867	-3.80023144138208	0.00260141190788044	0.0436204748713392	-1.62201612005261
7363_2	-0.564840759507729	-0.283902533311026	NA	NA	-0.584657844717225	-0.476473314623026	-0.986164375437698	0.440106535475112	NA	NA	NA	NA	1.01485583758759	-0.409322048686932	4.37748397002437	0.00506145653996137	0.0668922426563642	-1.66239118131091
4187_2	1.42814305460772	-0.041262629314908	0.839984490709222	0.64297662296326	1.08858139083888	0.434077072597205	0.779335273833018	0.443102534360265	1.28453199666945	0.521082599260288	0.294386747358354	0.289382108990155	-0.808598391934123	0.667026771906076	-3.71650706099332	0.00302609204614815	0.0487899148363579	-1.77129457452165
6059	0.438204636677781	0.155549645580984	0.672046185684014	-0.00382022201703757	1.7238722871112	-0.290431378432967	0.940437192674681	-0.168014604587499	1.01987110520857	0.264362798227934	0.653297662450419	0.213405595785393	-1.0467924199389	0.46823174203029	-3.70656363972412	0.00308105613595925	0.0488738141733078	-1.7890517156604
7914	-0.969412499013379	-0.0841149347190546	NA	NA	-0.783928497831322	-0.115416099305073	-0.748692247666311	0.076001446171373	-0.987385085358191	-0.511610465027596	NA	NA	0.989576806905671	-0.515569797843694	3.88853838773117	0.00484521696929526	0.0655198372105992	-1.81102016673703
5260	0.636164296803234	0.0978704174981641	0.736720407165082	0.209654205317202	0.598578408796932	0.38046139304434	0.575607381164903	-0.100917518423675	0.696833178775653	-0.14306484717306	0.559209449314944	0.0363236682487979	-0.595505176411165	0.356953370044376	-3.69279970346311	0.00315883418778361	0.0488738141733078	-1.81364080408976
